"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 16 15:07:19 TRT 2023","Fri Jun 16 15:07:20 TRT 2023","807","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* i see ""QCharge’a Hoşgeldiniz!"" text","* i see ""QCharge’a Hoşgeldiniz!"" text",""
"passed","Fri Jun 16 12:18:26 TRT 2023","Fri Jun 16 12:18:36 TRT 2023","10003","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* wait 10 second","* wait 10 second",""
"passed","Fri Jun 16 15:07:18 TRT 2023","Fri Jun 16 15:07:18 TRT 2023","489","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* i cant see ""Haritadan Şarj İstasyonu Seçin"" text","* i cant see ""Haritadan Şarj İstasyonu Seçin"" text",""
"passed","Fri Jun 16 11:28:17 TRT 2023","Fri Jun 16 11:28:17 TRT 2023","57","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i see ""SPLASH_SCREEN_ATLA_BUTTON"" element","* i see ""SPLASH_SCREEN_ATLA_BUTTON"" element",""
"passed","Fri Jun 16 15:07:18 TRT 2023","Fri Jun 16 15:07:19 TRT 2023","705","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* open app","* open app",""
"passed","Fri Jun 16 11:33:24 TRT 2023","Fri Jun 16 11:33:24 TRT 2023","0","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","","",""
"passed","Fri Jun 16 11:28:07 TRT 2023","Fri Jun 16 11:28:08 TRT 2023","869","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* restart the app","* restart the app",""
"passed","Fri Jun 16 15:07:07 TRT 2023","Fri Jun 16 15:07:07 TRT 2023","298","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* app goes to foreground","* app goes to foreground",""
"passed","Fri Jun 16 15:07:21 TRT 2023","Fri Jun 16 15:07:21 TRT 2023","72","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element",""
"passed","Fri Jun 16 11:28:19 TRT 2023","Fri Jun 16 11:28:20 TRT 2023","960","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* click ""SPLASH_SCREEN_BASLA_BUTTON""","* click ""SPLASH_SCREEN_BASLA_BUTTON""",""
"broken","Thu Jun 15 21:44:45 TRT 2023","Thu Jun 15 21:44:45 TRT 2023","1","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* try click 'PERMISSION_LOCATION_WHILE_USING_THE_APP'","* try click 'PERMISSION_LOCATION_WHILE_USING_THE_APP'",""
"passed","Fri Jun 16 15:07:20 TRT 2023","Fri Jun 16 15:07:20 TRT 2023","99","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* allow location permission","* allow location permission",""
"passed","Fri Jun 16 11:28:20 TRT 2023","Fri Jun 16 11:28:20 TRT 2023","52","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i see ""SIGN_UP_DEVAM_ET_BUTTON"" element","* i see ""SIGN_UP_DEVAM_ET_BUTTON"" element",""
"broken","Thu Jun 15 21:32:20 TRT 2023","Thu Jun 15 21:32:20 TRT 2023","17","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* try click ""PERMISSION_LOCATION_WHILE_USING_THE_APP""","* try click ""PERMISSION_LOCATION_WHILE_USING_THE_APP""",""
"passed","Fri Jun 16 11:33:20 TRT 2023","Fri Jun 16 11:33:21 TRT 2023","862","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* open app","* open app",""
"passed","Fri Jun 16 11:28:14 TRT 2023","Fri Jun 16 11:28:15 TRT 2023","1098","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* swipe left","* swipe left",""
"passed","Fri Jun 16 15:07:07 TRT 2023","Fri Jun 16 15:07:17 TRT 2023","10002","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* wait 2 second","* wait 2 second",""
"passed","Fri Jun 16 11:28:09 TRT 2023","Fri Jun 16 11:28:09 TRT 2023","35","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i see ""Haritadan Şarj İstasyonu Seçin"" text","* i see ""Haritadan Şarj İstasyonu Seçin"" text",""
"passed","Fri Jun 16 11:28:20 TRT 2023","Fri Jun 16 11:28:21 TRT 2023","879","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* click ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON""","* click ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON""",""
"passed","Fri Jun 16 11:28:17 TRT 2023","Fri Jun 16 11:28:17 TRT 2023","56","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i cant see ""SPLASH_SCREEN_BASLA_BUTTON"" element","* i cant see ""SPLASH_SCREEN_BASLA_BUTTON"" element",""
"passed","Fri Jun 16 11:33:21 TRT 2023","Fri Jun 16 11:33:22 TRT 2023","749","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* i see ""QCharge’a Hoşgeldiniz!"" text","* i see ""QCharge’a Hoşgeldiniz!"" text",""
"failed","Fri Jun 16 15:07:23 TRT 2023","Fri Jun 16 15:07:23 TRT 2023","109","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* i see ""HOME_AC_FILTER"" element","* i see ""HOME_AC_FILTER"" element",""
"passed","Fri Jun 16 11:28:20 TRT 2023","Fri Jun 16 11:28:20 TRT 2023","73","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element",""
"passed","Fri Jun 16 11:33:23 TRT 2023","Fri Jun 16 11:33:23 TRT 2023","965","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* click ""SPLASH_SCREEN_ATLA_BUTTON""","* click ""SPLASH_SCREEN_ATLA_BUTTON""",""
"passed","Fri Jun 16 11:28:17 TRT 2023","Fri Jun 16 11:28:18 TRT 2023","1126","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* swipe right","* swipe right",""
"passed","Fri Jun 16 11:28:14 TRT 2023","Fri Jun 16 11:28:14 TRT 2023","70","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i cant see ""SPLASH_SCREEN_ATLA_BUTTON"" element","* i cant see ""SPLASH_SCREEN_ATLA_BUTTON"" element",""
"passed","Fri Jun 16 11:33:23 TRT 2023","Fri Jun 16 11:33:24 TRT 2023","70","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element","* i see ""SIGN_UP_UYE_OLMADAN_KESFET_BUTTON"" element",""
"passed","Fri Jun 16 15:07:17 TRT 2023","Fri Jun 16 15:07:18 TRT 2023","281","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* kill app","* kill app",""
"passed","Fri Jun 16 11:33:24 TRT 2023","Fri Jun 16 11:33:24 TRT 2023","31","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* i see ""SIGN_UP_DEVAM_ET_BUTTON"" element","* i see ""SIGN_UP_DEVAM_ET_BUTTON"" element",""
"passed","Fri Jun 16 11:28:18 TRT 2023","Fri Jun 16 11:28:19 TRT 2023","1283","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","* i see ""Soketi Takarak Hızlıca Şarja Başlayın!"" text","* i see ""Soketi Takarak Hızlıca Şarja Başlayın!"" text",""
"failed","Fri Jun 16 12:12:28 TRT 2023","Fri Jun 16 12:12:28 TRT 2023","44","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* i see ""Haritadan Şarj İstasyonu Seçin2"" text","* i see ""Haritadan Şarj İstasyonu Seçin2"" text",""
"passed","Fri Jun 16 12:10:10 TRT 2023","Fri Jun 16 12:10:20 TRT 2023","10004","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* wait 20 second","* wait 20 second",""
"skipped","Fri Jun 16 11:33:24 TRT 2023","Fri Jun 16 11:33:24 TRT 2023","0","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* click ""NAVBAR_ACCOUNT""","* click ""NAVBAR_ACCOUNT""",""
"failed","Fri Jun 16 11:33:24 TRT 2023","Fri Jun 16 11:33:24 TRT 2023","50","","QCharge - Android: Onboarding - Skip with Atla Button","","QCharge - Android: Onboarding - Skip with Atla Button","* i see ""HOME_AC_FILTER"" element","* i see ""HOME_AC_FILTER"" element",""
"passed","Fri Jun 16 11:28:21 TRT 2023","Fri Jun 16 11:28:21 TRT 2023","0","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","QCharge - Android: Onboarding - Swipe Action and Üye Olmadan Kesfet Function","","",""
"skipped","Fri Jun 16 12:11:17 TRT 2023","Fri Jun 16 12:11:17 TRT 2023","0","","QCharge - Android: Onboarding - App is called from background and killed","","QCharge - Android: Onboarding - App is called from background and killed","* wait 5 second","* wait 5 second",""
